Time,Source,Topic,SampleTime,PerfCounter,Elapsed
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.1034675,1314993.857299666,0.0486
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208959999.7621045,1314993.857363416,0.0310
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.001231,1314993.857778,0.0412
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.001231,1314993.857850125,0.0268
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959998.7505565,1314993.858409708,0.0325
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959998.900634,1314993.858842125,0.3881
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959998.900634,1314993.85924375,0.3660
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.5654964,1314993.860728208,1.4516
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.0523496,1314993.860965416,0.0628
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208959999.712952,1314993.861039166,0.0364
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959998.9520793,1314993.861204375,0.0301
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959998.9540453,1314993.861258583,0.0213
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.001231,1314993.8615785,0.0535
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208959999.6638007,1314993.861651666,0.0325
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959998.700421,1314993.861836125,0.0981
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959998.850498,1314993.862335291,0.4084
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959998.850498,1314993.862755333,0.3777
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.516344,1314993.8643905,1.5973
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959998.9009614,1314993.86468025,0.0235
